year,entity,Africa,Share of GDP (%)
2000,Africa,55.464,4.647
2001,Africa,60.043,4.824
2002,Africa,61.064,4.678
2003,Africa,69.44,5.055
2004,Africa,71.903,4.943
2005,Africa,74.444,4.836
2006,Africa,79.528,4.889
2007,Africa,83.601,4.846
2008,Africa,87.791,4.835
2009,Africa,95.418,5.111
2010,Africa,97.815,4.956
2011,Africa,101.747,5.037
2012,Africa,105.012,5.076
2013,Africa,111.316,5.163
2014,Africa,114.469,5.093
2015,Africa,121.226,5.22
2016,Africa,123.234,5.208
2017,Africa,127.043,5.203
2018,Africa,123.975,4.92
2019,Africa,127.301,4.898
2020,Africa,128.875,5.046
2021,Africa,136.695,5.123
